2077,Indian Corn (Flint Corn),Zea Mays,1
2078,Jackfruit,Artocarpus heterophyllus,1
2079,Javanese Bishopwood,Bischofia javanica,1
2080,Joshua Tree,Yucca brevifolia,1
2081,Jujube,Ziziphus mauritiana,1
2082,Juniper,Juniperus,1
2083,Kinnikinnick (Bearberry),Arctostaphylos uva-ursi,1
2084,Lamb Quarters (Pigweed),Chenopodium album,1
2085,Common Day-lily,Hemerocallis fulva,1
2086,Miner's Lettuce,Claytonia perfoliata,1
2087,Longan Fruit,Dimocarpus longan,1
2088,Loquat,Eriobotrya japonica,1
2089,Lychee,Litchi chinensis,1
2090,Magnolia Vine,Schisandra chinensis,1
2091,Mamey,Pouteria sapota,1
3011,Mango,Mangifera indica,1
3012,Mangosteen,Garcinia mangostana,1
3013,Medlar,Mespilus germanica,1
3014,Mesquiete,Prosopis,1
3015,Miners Lettuce,Claytonia perfoliata,1
3016,"Mizuna Greens, Mizuna Mustard",Brassica juncea,1
3017,Mulberry,Morus,1
3018,Mulberry Paper,Broussonetia papyrifera,1
3019,Musk Mallow,Abelmoschus moschatus,1
3020,Mustard Black,Brassica nigra,1
3021,Nance,Byrsonima crassifolia,1
3022,Stinging Nettle,Urtica dioica,1
3023,Peanut,Arachis hypogaea,1
3024,Hazelnut,Corylus avellana,1
3025,Marula,Sclerocarya birrea,1
3026,Pinyon,Pinus edulis,1
3027,Oak,Quercus,1
3028,Wild Onions,Allium,1
3029,Buri Palm,Corypha utan,0
3030,Black Palm,Astrocaryum standleyanum,1
3031,Date Palm,Phoenix dactylifera,1
3032,Fishtail Palm,Caryota,0
3033,Nipa Palm,Nypa fruticans,1
